的	2209931
是	833843
不	814139
一	804243
人	794050
有	781538
在	755315
中	697751
國	683718
国	683718
大	613367
年	599354
會	563536
会	563536
為	517944
为	517944
台	475883
出	468323
上	427213
時	418328
时	418328
到	415579
以	409488
也	406373
要	371637
來	369521
来	369521
生	366134
日	366117
家	352760
民	345767
對	343874
对	343874
與	338025
与	338025
後	337461
后	337461
可	332667
成	332629
他	327100
前	325548
能	325179
發	324116
发	324116
新	319711
了	317054
長	314976
长	314976
行	312675
市	309355
多	309086
就	296302
公	295647
這	294840
这	294840
過	291031
过	291031
說	289588
说	289588
表	278629
學	276231
学	276231
我	276210
地	274844
自	274390
政	271657
動	271408
动	271408
法	271142
下	269077
個	268547
个	268547
月	264762
美	264233
業	260146
业	260146
高	258929
開	258196
开	258196
情	254759
都	253751
分	252017
疫	251364
全	249610
心	244532
但	244501
及	243153
於	242484
于	242484
天	241704
外	239697
現	239007
现	239007
用	238732
作	237404
和	233577
方	233076
因	229160
將	228508
将	228508
主	227580
經	227395
经	227395
示	223347
場	220536
场	220536
進	218846
进	218846
最	217492
等	215960
工	213802
部	213729
者	211350
機	210638
机	210638
定	207456
小	205370
事	200433
員	198437
员	198437
力	198222
灣	194866
湾	194866
同	193866
元	192631
當	191993
当	191993
得	190809
加	188724
重	187663
之	187407
好	184614
區	183423
区	183423
還	183043
还	183043
關	182105
关	182105
子	181764
期	181643
文	181148
間	180424
间	180424
提	179169
合	177680
而	177247
理	177159
體	176517
体	176517
至	174513
北	172516
入	172129
已	170359
車	170268
车	170268
本	168373
所	167154
名	165626
其	165095
無	164728
无	164728
如	164218
讓	163780
让	163780
更	162726
內	162619
内	162619
萬	162260
万	162260
度	161981
選	161655
选	161655
府	160975
金	160503
沒	158978
没	158978
資	158332
资	158332
起	157682
面	156955
共	156310
應	155205
应	155205
去	154838
實	154573
实	154573
手	152036
次	150815
口	149236
院	148663
此	148527
明	148252
們	147643
们	147643
點	147116
点	147116
指	146594
安	146525
第	145899
化	145308
意	145222
立	145127
並	144640
并	144640
被	142524
今	140335
道	139393
三	139144
保	138622
計	138486
计	138486
總	138233
总	138233
感	138022
產	137859
产	137859
路	137693
黨	137596
党	137596
她	137493
議	137358
议	137358
局	137327
相	136965
防	136472
受	135913
案	135850
報	134535
报	134535
數	134447
数	134447
很	133014
品	132172
電	130922
电	130922
通	130550
由	129814
回	129364
性	129332
水	129260
看	127653
影	127618
打	127291
未	126993
兩	126956
两	126956
球	126870
持	126457
建	126060
位	125983
接	125476
只	124796
統	124520
统	124520
從	124472
从	124472
或	124112
目	123835
導	123526
导	123526
處	123441
处	123441
然	123113
正	122985
教	122708
交	122050
任	122047
再	121926
眾	121075
众	121075
近	120545
醫	120509
医	120509
調	120090
调	120090
二	118093
活	117093
病	116797
果	116472
林	116295
著	116000
設	114850
设	114850
身	114035
量	113869
運	112955
运	112955
務	111146
务	111146
平	109543
物	109468
海	109198
認	108401
认	108401
利	108347
特	107511
陳	107043
陈	107043
少	107003
女	106994
昨	106856
管	106732
代	106719
社	106364
強	106169
强	106169
每	105962
展	105943
比	105043
常	104613
各	104592
程	104571
檢	104495
检	104495
想	104371
商	104002
制	102902
十	102582
原	100412
續	100024
续	100024
南	99799
東	99474
东	99474
則	99061
则	99061
問	99027
问	99027
才	98244
投	98189
戰	97871
战	97871
辦	97356
办	97356
造	97042
推	96870
做	96657
約	95957
约	95957
團	95453
团	95453
包	95406
園	95346
园	95346
隊	95077
队	95077
式	94772
助	94645
放	94046
師	93872
师	93872
線	93493
线	93493
先	93480
傳	93274
传	93274
老	93085
費	92881
费	92881
達	92260
达	92260
結	91042
结	91042
基	91031
演	90579
題	90265
题	90265
求	89913
單	89749
单	89749
規	89677
规	89677
氣	89428
气	89428
向	89113
風	88859
风	88859
解	88761
光	88631
港	87861
觀	87796
观	87796
空	87768
陸	87477
陆	87477
確	87384
确	87384
委	87304
連	86568
连	86568
消	86538
治	86472
專	86178
专	86178
布	85860
照	85492
除	85432
種	84917
种	84917
反	84404
流	84236
完	84162
查	83959
預	83770
预	83770
使	83539
知	83434
畫	83272
画	83272
山	83078
客	83022
縣	82641
县	82641
例	82393
網	82386
网	82386
友	82200
軍	82056
军	82056
己	81357
視	81073
视	81073
收	81064
直	80881
取	80783
變	80691
变	80691
世	80572
頭	80500
头	80500
張	80196
张	80196
舉	79696
举	79696
改	79619
司	79521
周	79178
華	78752
华	78752
供	78453
聯	78175
联	78175
校	77986
書	77851
书	77851
許	77821
许	77821
帶	77150
带	77150
需	76650
花	76593
該	76483
该	76483
望	76431
權	76314
权	76314
增	76136
價	76126
价	76126
界	75809
色	75576
信	75565
賽	75562
赛	75562
境	75348
首	75245
營	74666
营	74666
四	74621
給	74370
给	74370
科	74174
樣	73985
样	73985
創	73908
创	73908
請	73902
请	73902
清	73775
門	73586
门	73586
香	73458
別	72929
别	72929
遊	72756
游	72756
五	72733
見	72490
见	72490
離	72395
离	72395
警	72346
片	71624
件	71399
透	71351
護	70926
护	70926
整	70877
言	70461
即	70358
參	70306
参	70306
非	70282
百	70277
官	69916
際	69776
际	69776
旅	69770
住	69653
轉	69470
转	69470
論	69315
论	69315
系	69280
曾	69168
難	68940
难	68940
告	68737
決	68505
决	68505
施	68198
麼	68111
么	68111
協	68003
协	68003
料	67907
何	67446
些	67360
仍	67176
超	66994
店	66894
標	66795
标	66795
樂	66582
乐	66582
服	66444
育	66255
組	65999
组	65999
歲	65911
岁	65911
食	65911
義	65862
义	65862
愛	65708
爱	65708
太	65689
若	65333
卻	65296
却	65296
親	65128
亲	65128
兒	65020
儿	65020
環	64882
环	64882
節	64798
节	64798
響	64746
响	64746
記	64724
记	64724
據	64654
据	64654
冠	64396
型	64290
農	63941
农	63941
房	63529
且	63327
備	63252
备	63252
又	63241
黃	63176
黄	63176
王	63099
支	62564
英	62562
考	62561
往	62466
真	62387
質	62058
质	62058
炎	61937
肺	61907
濟	61482
济	61482
配	61472
狀	61141
状	61141
證	61093
证	61093
率	60961
票	60879
獲	60731
获	60731
集	60684
引	60573
失	60254
衛	59927
卫	59927
男	59787
必	59615
李	59111
毒	58693
健	58668
那	58592
步	58456
送	58397
驗	58205
验	58205
研	57999
希	57939
格	57825
較	57741
较	57741
走	57623
另	57520
西	57415
把	57367
術	57320
术	57320
站	57236
滿	57212
满	57212
士	56685
領	56638
领	56638
勢	56301
势	56301
排	56243
馬	56076
马	56076
宣	55412
停	55351
容	55336
補	55175
补	55175
段	55148
億	55075
亿	55075
像	54989
低	54872
